"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439641e-01, 3.102385181255442e-02, 9.663287988720283e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.580423166608426e+00, 0.000000000000000e+00, 1.432169266643370e+00, 1.102687672531034e+00, 0.000000000000000e+00, 1.762293573454246e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658299562837696e-07, 2.215729369489873e-03, -7.893963973244087e-05, -1.645342607827331e+02, 2.254083847082214e+00, 0.000000000000000e+00
51, 9.695732593536385e-01, 3.071176448412782e-02, 9.607812837627717e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.560068632224556e+00, 0.000000000000000e+00, 1.424027452889822e+00, 1.102749627759517e+00, 0.000000000000000e+00, 1.599457298383281e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658370173669530e-07, 1.598942489771370e-03, 7.999191989159180e-05, -3.835730621828797e+01, 1.868508183536715e+00, 0.000000000000000e+00
77, 9.526804089546205e-01, 2.938710364058653e-02, 9.413106752972666e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.487201898753608e+00, 0.000000000000000e+00, 1.394880759501443e+00, 1.102521816898067e+00, 0.000000000000000e+00, 1.016523430615699e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658110526287788e-07, 1.574314198671990e-03, 1.322519443750682e-04, -5.221722308276921e+01, 1.852727712994457e+00, 0.000000000000000e+00
103, 9.349957108497621e-01, 2.780704062073487e-02, 9.179235876173449e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.399539772614194e+00, 0.000000000000000e+00, 1.359815909045677e+00, 1.102190542627781e+00, 0.000000000000000e+00, 3.152264215003876e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.657732909151064e-07, 1.828514387965112e-03, 1.464742746470998e-04, -1.177126469094335e+02, 1.966765612034651e+00, 0.000000000000000e+00
129, 9.168222546577453e-01, 2.651466403858609e-02, 9.008192009917941e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.335511397218571e+00, 0.000000000000000e+00, 1.334204558887428e+00, 1.101965195544953e+00, 0.000000000000000e+00, -1.970005816645904e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.657476005565410e-07, 2.092172505020291e-03, 1.149965658960411e-04, -1.906598607650311e+02, 2.078459384439730e+00, 0.000000000000000e+00
155, 8.983380794525151e-01, 2.579214858174146e-02, 8.965273643418422e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.319712633701371e+00, 0.000000000000000e+00, 1.327885053480548e+00, 1.101996017394010e+00, 0.000000000000000e+00, -3.233906898021922e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.657511145089156e-07, 2.242304721789367e-03, 5.140403145878303e-05, -2.292156759485990e+02, 2.140280275327273e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, 2.566380418665039e-02, 9.042172741031375e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.349185535978893e+00, 0.000000000000000e+00, 1.339674214391557e+00, 1.102324578821260e+00, 0.000000000000000e+00, -8.760747158201635e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.657885702796082e-07, 2.225054290641445e-03, -1.272340096072507e-05, -2.158250068589033e+02, 2.137294102653887e+00, 0.000000000000000e+00
207, 8.610174655914313e-01, 2.600555691800191e-02, 9.193536864897702e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.406630810412923e+00, 0.000000000000000e+00, 1.362652324165169e+00, 1.102771495049210e+00, 0.000000000000000e+00, 3.719547238902222e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.658395095512679e-07, 2.076370540827573e-03, -5.353716927391697e-05, -1.693835635060012e+02, 2.080116008754584e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, 2.662913931860931e-02, 9.371794435170731e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.473488580226940e+00, 0.000000000000000e+00, 1.389395432090776e+00, 1.103027156759466e+00, 0.000000000000000e+00, 9.068168824023640e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.658686451440808e-07, 1.907594330659559e-03, -6.766731528104311e-05, -1.316248999910354e+02, 2.011574526358851e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, 2.733383689112224e-02, 9.545769654293020e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.537834150417791e+00, 0.000000000000000e+00, 1.415133660167116e+00, 1.102984991908439e+00, 0.000000000000000e+00, 1.421581443929166e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.658638402043359e-07, 1.802240538431293e-03, -6.352961995509599e-05, -1.229153822823369e+02, 1.971192102763882e+00, 0.000000000000000e+00
